2025-11-26 19:44:57,648 - BORDER -  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
2025-11-26 19:45:47,936 - DEBUG --- ⚕ | __main__ | This is a debug message.
2025-11-26 19:45:47,936 - INFO ---- 🛈 | __main__ | This is an info message.
2025-11-26 19:45:47,937 - SUCCESS - ☀ | __main__ | This is a success message.
2025-11-26 19:45:47,937 - WARNING - ⚠ | __main__ | This is a warning message.
2025-11-26 19:45:47,937 - ERROR -- ⚠⚠ | __main__ | This is an error message.
2025-11-26 19:45:47,937 - CRITICAL -   ⛌ ⛌ ⛌   | __main__ | This is a critical message.
2025-11-26 19:45:47,937 - WATCHDOG - ⛨ | __main__ | This is a watchdog message.
2025-11-26 19:45:47,937 - BORDER --  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
DEBUG --- ⚕ | __main__ | This is a debug message.
INFO ---- 🛈 | __main__ | This is an info message.
SUCCESS - ☀ | __main__ | This is a success message.
WARNING - ⚠ | __main__ | This is a warning message.
ERROR -- ⚠⚠ | __main__ | This is an error message.
CRITICAL -   ⛌ ⛌ ⛌   | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER --  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
DEBUG --- ⚕ | __main__ | This is a debug message.
INFO ---- 🛈 | __main__ | This is an info message.
SUCCESS - ☀ | __main__ | This is a success message.
WARNING - ⚠ | __main__ | This is a warning message.
ERROR -- ⚠⚠ | __main__ | This is an error message.
CRITICAL - ⛌⛌⛌ | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER --  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
DEBUG --- ⚕ | __main__ | This is a debug message.
INFO ---- 🛈 | __main__ | This is an info message.
SUCCESS - ☀ | __main__ | This is a success message.
WARNING - ⚠ | __main__ | This is a warning message.
ERROR -- ⚠⚠ | __main__ | This is an error message.
CRITICAL - XXX | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER --  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
DEBUG --- ⚕ | __main__ | This is a debug message.
INFO ---- 🛈 | __main__ | This is an info message.
SUCCESS - ☀ | __main__ | This is a success message.
WARNING - ⚠ | __main__ | This is a warning message.
ERROR -- ⚠⚠ | __main__ | This is an error message.
CRITICAL - X | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER --  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝   | __main__ | This is a border message.
DEBUG --- ⚕ | __main__ | This is a debug message.
INFO ---- 🛈 | __main__ | This is an info message.
SUCCESS - ☀ | __main__ | This is a success message.
WARNING - ⚠ | __main__ | This is a warning message.
ERROR -- ⚠⚠ | __main__ | This is an error message.
CRITICAL - X | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER --  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝  
DEBUG --- ⚕ | __main__ | This is a debug message.
INFO ---- 🛈 | __main__ | This is an info message.
SUCCESS - ☀ | __main__ | This is a success message.
WARNING - ⚠ | __main__ | This is a warning message.
ERROR -- ⚠⚠ | __main__ | This is an error message.
CRITICAL - X | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER --  ⌞ ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ ⌝  
DEBUG --- ⚕ | __main__ | This is a debug message.
INFO ---- 🛈 | __main__ | This is an info message.
SUCCESS - ☀ | __main__ | This is a success message.
WARNING - ⚠ | __main__ | This is a warning message.
ERROR -- ⚠⚠ | __main__ | This is an error message.
CRITICAL - X | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER -- | ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ |
DEBUG ---- ⚕ | __main__ | This is a debug message.
INFO ----- 🛈 | __main__ | This is an info message.
SUCCESS - ☀ | __main__ | This is a success message.
WARNING -- ⚠ | __main__ | This is a warning message.
ERROR --- ⚠⚠ | __main__ | This is an error message.
CRITICAL - X | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER ---- | ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ |
DEBUG ---- ⚕ | __main__ | This is a debug message.
INFO ----- 🛈 | __main__ | This is an info message.
SUCCESS - ☀ | __main__ | This is a success message.
WARNING -- ⚠ | __main__ | This is a warning message.
ERROR --- ⚠⚠ | __main__ | This is an error message.
CRITICAL - X | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER ----- | ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ |
DEBUG ---- ⚕ | __main__ | This is a debug message.
INFO ----- 🛈 | __main__ | This is an info message.
SUCCESS -- ☀ | __main__ | This is a success message.
WARNING -- ⚠ | __main__ | This is a warning message.
ERROR --- ⚠⚠ | __main__ | This is an error message.
CRITICAL - X | __main__ | This is a critical message.
WATCHDOG - ⛨ | __main__ | This is a watchdog message.
BORDER ----- | ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ |
DEBUG ---- ⚕ | util_classes | This is a debug message.
INFO ----- 🛈 | util_classes | This is an info message.
SUCCESS -- ☀ | util_classes | This is a success message.
WARNING -- ⚠ | util_classes | This is a warning message.
ERROR --- ⚠⚠ | util_classes | This is an error message.
CRITICAL - X | util_classes | This is a critical message.
WATCHDOG - ⛨ | util_classes | This is a watchdog message.
DEBUG ---- ⚕ | util_classes | This is a debug message.
INFO ----- 🛈 | util_classes | This is an info message.
SUCCESS -- ☀ | util_classes | This is a success message.
WARNING -- ⚠ | util_classes | This is a warning message.
ERROR --- ⚠⚠ | util_classes | This is an error message.
CRITICAL - X | util_classes | This is a critical message.
WATCHDOG - ⛨ | util_classes | This is a watchdog message.
INFO ----- 🛈 | HTML_RETR | Starting requests session for Robots.txt
INFO ----- 🛈 | HTML_RETR | Starting Selenium
SUCCESS -- ☀ | HTML_RETR | Allowed to scrape : https://www.environmentallights.com/19072-px-spi-v2.html as per robots.txt
INFO ----- 🛈 | HTML_RETR | OPENING FILE environmentallights_com/Pixel LED SPI Digital Controller
DEBUG ---- ⚕ | UTIL_CLOG | This is a debug message.
INFO ----- 🛈 | UTIL_CLOG | This is an info message.
SUCCESS -- ☀ | UTIL_CLOG | This is a success message.
WARNING -- ⚠ | UTIL_CLOG | This is a warning message.
ERROR --- ⚠⚠ | UTIL_CLOG | This is an error message.
CRITICAL - X | UTIL_CLOG | This is a critical message.
WATCHDOG - ⛨ | UTIL_CLOG | This is a watchdog message.
BORDER ----- | ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ |
INFO ----- 🛈 | HTML_RETR | Starting requests session for Robots.txt
INFO ----- 🛈 | HTML_RETR | Starting Selenium
SUCCESS -- ☀ | HTML_RETR | Allowed to scrape : https://www.environmentallights.com/19072-px-spi-v2.html as per robots.txt
INFO ----- 🛈 | HTML_RETR | OPENING FILE environmentallights_com/Pixel LED SPI Digital Controller
DEBUG ---- ⚕ | UTIL_CLOG | This is a debug message.
INFO ----- 🛈 | UTIL_CLOG | This is an info message.
SUCCESS -- ☀ | UTIL_CLOG | This is a success message.
WARNING -- ⚠ | UTIL_CLOG | This is a warning message.
ERROR --- ⚠⚠ | UTIL_CLOG | This is an error message.
CRITICAL - X | UTIL_CLOG | This is a critical message.
WATCHDOG - ⛨ | UTIL_CLOG | This is a watchdog message.
BORDER ----- | ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ 𓃵 ___ |
INFO ----- 🛈 | HTML_RETR | Starting requests session for Robots.txt
INFO ----- 🛈 | HTML_RETR | Starting Selenium
SUCCESS -- ☀ | HTML_RETR | Allowed to scrape : https://www.environmentallights.com/19072-px-spi-v2.html as per robots.txt
INFO ----- 🛈 | HTML_RETR | OPENING FILE environmentallights_com/Pixel LED SPI Digital Controller
